Image,Contrast,Folder
1.jpg,7590.536909680922,check1
10.jpg,1388.862186801677,check1
11.jpg,15083.418217573995,check1
12.jpg,5094.425668749001,check1
13.jpg,5164.6184493275,check1
14.jpg,1546.6889511161621,check1
15.jpg,7132.815511184749,check1
16.jpg,6697.3070494394815,check1
17.jpg,9648.335256278242,check1
18.jpg,6239.311352184047,check1
19.jpg,3635.050860969388,check1
2.jpg,7923.049003742477,check1
20.jpg,2129.9533357532855,check1
21.jpg,5590.209141271704,check1
22.jpg,22182.651726782296,check1
23.jpg,2763.3008936219094,check1
24.jpg,18625.134871273523,check1
25.jpg,1026.7183960418508,check1
26.jpg,9271.967225502947,check1
27.jpg,3030.5851996059173,check1
28.jpg,33490.74680303266,check1
29.jpg,4301.486258503596,check1
3.jpg,8545.47434253367,check1
30.jpg,2863.6602280250145,check1
31.jpg,8717.051432325165,check1
32.jpg,9663.911372338867,check1
33.jpg,42378.37407201651,check1
34.jpg,20910.79411542639,check1
35.jpg,1605.0425449293484,check1
36.jpg,6878.913263227582,check1
37.jpg,14006.319666400546,check1
38.jpg,3200.852868304953,check1
39.jpg,13841.386233928746,check1
4.jpg,9676.461575153418,check1
40.jpg,9701.464011831016,check1
41.jpg,5882.602307015784,check1
42.jpg,42378.37407201651,check1
43.jpg,21847.467710463614,check1
44.jpg,26801.48733635536,check1
45.jpg,35045.9012956659,check1
46.jpg,73579.87245610972,check1
47.jpg,13006.976133804928,check1
48.jpg,11585.18397933153,check1
49.jpeg,13141.086661747526,check1
5.jpg,4789.3902925664515,check1
50.jpg,1262.5030723958648,check1
6.jpg,4700.180900385855,check1
7.jpg,2734.340644947244,check1
8.jpg,6201.316407311316,check1
9.jpg,2943.01532966045,check1
1.jpg,9082.272930655266,check2
10.jpg,20007.375537371445,check2
11.jpg,8211.305767180074,check2
12.jpg,6665.314830758978,check2
13.jpg,8412.484478716551,check2
14.jpg,11172.509281216833,check2
15.jpg,8147.1742462943075,check2
16.jpg,13081.61770831938,check2
17.jpg,5652.334156586101,check2
18.jpg,4028.0824694075422,check2
19.jpg,10036.507457429298,check2
2.jpg,14684.624664826173,check2
20.jpg,14979.744140599578,check2
21.jpg,26186.629319434862,check2
22.jpg,32805.68990550226,check2
23.jpg,7898.3465728565125,check2
24.jpg,4257.499823743828,check2
25.jpg,36173.49230547718,check2
26.jpg,10776.277817369453,check2
27.jpg,8223.201862809856,check2
28.jpg,21067.411982512487,check2
29.jpg,6836.448838350724,check2
3.jpg,3736.514734556554,check2
30.jpg,22327.9650997621,check2
31.jpg,19197.605779961614,check2
32.jpg,45100.096724275056,check2
33.jpg,32822.35351346702,check2
34.jpg,96532.71764912023,check2
35.jpg,6920.772590611389,check2
36.jpg,43572.2390383554,check2
37.jpg,17133.634073043362,check2
38.jpg,10902.129904222707,check2
39.jpg,9128.896301250068,check2
4.jpg,20755.506659660274,check2
40.jpg,10605.432570222316,check2
41.jpg,24320.091131435136,check2
42.jpg,13515.519326077756,check2
43.jpg,22455.693495079962,check2
44.jpg,4049.5018157450577,check2
45.jpg,42908.09362797059,check2
46.jpg,24848.61423948058,check2
47.jpg,6338.761462638994,check2
48.jpg,1196.7922548371919,check2
49.jpg,35199.293889548564,check2
5.jpg,7908.073272612531,check2
50.jpg,4331.189050209318,check2
