Image;Contrast;Folder;;
1.jpg;8.371.938.338.978.790;check1;;
10.jpg;174.802.514.381.361;check1;;
11.jpg;1.754.326.324.362.430;check1;Mean;12.454.618.149.295.000
12.jpg;7.794.516.596.643.190;check1;Sum;6.227.309.074.647.520.000
13.jpg;52.847.670.538.952.700;check1;;
14.jpg;20.743.464.157.628;check1;;
15.jpg;7.312.246.700.841.350;check1;;
16.jpg;66.711.701.996.817.900;check1;;
17.jpg;9.769.479.957.669.140;check1;;
18.jpg;725.834.285.741.327;check1;;
19.jpg;3.794.516.793.881.390;check1;;
2.jpg;11.491.885.327.393.900;check1;;
20.jpg;2.163.095.292.675.250;check1;;
21.jpg;5.672.413.981.486.930;check1;;
22.jpg;2.218.259.874.619.800;check1;;
23.jpg;2.844.723.728.388.060;check1;;
24.jpg;18.625.157.317.846.700;check1;;
25.jpg;10.541.768.056.908.400;check1;;
26.jpg;9.291.326.141.699.010;check1;;
27.jpg;31.819.225.298.823.100;check1;;
28.jpg;3.426.316.579.108.330;check1;;
29.jpg;4.526.481.090.019.360;check1;;
3.jpg;9.425.910.354.735.000;check1;;
30.jpg;2.999.541.256.670.250;check1;;
31.jpg;8.816.883.341.307.840;check1;;
32.jpg;14.038.549.251.322.800;check1;;
33.jpg;52.146.502.882.172.500;check1;;
34.jpg;21.556.938.230.632.400;check1;;
35.jpg;25.937.778.660.934.300;check1;;
36.jpg;1.178.596.181.003.410;check1;;
37.jpg;13.908.011.749.254.800;check1;;
38.jpg;5.329.558.067.029.040;check1;;
39.jpg;14.740.990.937.955.400;check1;;
4.jpg;9.836.479.755.602.990;check1;;
40.jpg;12.816.872.562.253.900;check1;;
41.jpg;9.222.590.361.137.580;check1;;
42.jpg;52.146.502.882.172.500;check1;;
43.jpg;21.731.555.798.544.000;check1;;
44.jpg;26.714.585.478.023.200;check1;;
45.jpg;3.566.546.904.955.620;check1;;
46.jpg;7.325.979.552.438.260;check1;;
47.jpg;14.121.750.502.713.800;check1;;
48.jpg;1.896.118.889.516.390;check1;;
49.jpeg;13.139.824.676.058.800;check1;;
5.jpg;640.496.858.228.956;check1;;
50.jpg;1.269.316.069.946.140;check1;;
6.jpg;4.743.396.687.230.780;check1;;
7.jpg;2.955.604.981.215.080;check1;;
8.jpg;795.758.527.134.002;check1;;
9.jpg;33.651.494.676.223.700;check1;;
1.jpg;10.114.608.745.517.700;check2;;
10.jpg;25.322.980.227.755.100;check2;;
11.jpg;8.252.154.374.693.790;check2;;
12.jpg;10.379.729.829.658.700;check2;;
13.jpg;8.415.349.956.901.700;check2;;
14.jpg;11.170.512.068.068.400;check2;;
15.jpg;9.325.649.533.995.880;check2;;
16.jpg;14.002.134.641.616.300;check2;;
17.jpg;9.716.295.139.720.660;check2;;
18.jpg;4.816.573.181.150.750;check2;;
19.jpg;1.170.943.511.558.020;check2;;
2.jpg;1.463.448.378.835.600;check2;;
20.jpg;163.593.391.044.546;check2;;
21.jpg;26.340.930.952.797.000;check2;;
22.jpg;3.403.712.172.559.310;check2;;
23.jpg;7.882.757.588.863.960;check2;;
24.jpg;5.323.300.139.222.620;check2;;
25.jpg;36.170.087.715.259.700;check2;;
26.jpg;11.208.257.642.514.400;check2;;
27.jpg;8.896.375.382.389.630;check2;;
28.jpg;22.882.478.553.034.300;check2;;
29.jpg;7.041.129.727.618.980;check2;;
3.jpg;4.588.420.813.925.900;check2;;
30.jpg;32.442.187.711.840.000;check2;;
31.jpg;19.621.873.537.777.300;check2;;
32.jpg;46.742.698.820.530.700;check2;;
33.jpg;419.528.555.373.796;check2;;
34.jpg;9.652.066.862.908.980;check2;;
35.jpg;7.705.402.242.192.620;check2;;
36.jpg;4.364.366.901.925.140;check2;;
37.jpg;1.725.401.075.207.450;check2;;
38.jpg;11.044.695.476.275.700;check2;;
39.jpg;13.253.451.828.452.500;check2;;
4.jpg;21.091.049.847.748.600;check2;;
40.jpg;10.655.187.619.216.800;check2;;
41.jpg;24.317.636.958.460.600;check2;;
42.jpg;13.780.797.769.955.200;check2;;
43.jpg;2.389.883.922.885.720;check2;;
44.jpg;5.034.702.166.308.260;check2;;
45.jpg;42.932.929.897.316.200;check2;;
46.jpg;24.844.025.761.740.500;check2;;
47.jpg;6.603.992.285.105.640;check2;;
48.jpg;12.739.667.022.066.300;check2;;
49.jpg;353.790.730.724.724;check2;;
5.jpg;938.488.946.194.472;check2;;
50.jpg;439.515.801.091.216;check2;;
6.jpg;4.483.976.079.804.550;check2;;
7.jpg;46.218.973.758.289.100;check2;;
8.jpg;8.114.283.580.501.590;check2;;
9.jpg;15.055.113.180.310.200;check2;;
