Image,Contrast,Folder
1.jpg,7952.197231292725,check1
10.jpg,1341.7525829218268,check1
11.jpg,13328.765373019865,check1
12.jpg,5744.0138067919115,check1
13.jpg,6098.688947988223,check1
14.jpg,1403.3225614967969,check1
15.jpg,6717.879668196455,check1
16.jpg,6925.125057590251,check1
17.jpg,9457.408559320173,check1
18.jpg,6200.843776855405,check1
19.jpg,3578.8428465471025,check1
2.jpg,7720.194355069373,check1
20.jpg,2076.5201074579563,check1
21.jpg,4591.861710474522,check1
22.jpg,22822.42998450143,check1
23.jpg,2586.9313582893415,check1
24.jpg,22121.05225524362,check1
25.jpg,1190.7032210136742,check1
26.jpg,9892.335721560092,check1
27.jpg,3084.675241096176,check1
28.jpg,30194.074790042225,check1
29.jpg,4224.414603649999,check1
3.jpg,10345.116928405634,check1
30.jpg,3287.7969626947424,check1
31.jpg,9202.009697484353,check1
32.jpg,10695.094019967684,check1
33.jpg,45250.38000801553,check1
34.jpg,21262.026771311856,check1
35.jpg,1353.3473532345831,check1
36.jpg,6725.450146096391,check1
37.jpg,14217.940806037732,check1
38.jpg,4026.742850100284,check1
39.jpg,15350.67775161303,check1
4.jpg,12111.36795596687,check1
40.jpg,10156.847774755055,check1
41.jpg,6680.478049928473,check1
42.jpg,45250.38000801553,check1
43.jpg,22810.15892219742,check1
44.jpg,27477.472380542797,check1
45.jpg,33972.29101926016,check1
46.jpg,78185.71606854229,check1
47.jpg,16789.814485140814,check1
48.jpg,13292.814117463417,check1
49.jpeg,13114.55108294314,check1
5.jpg,5869.690834684106,check1
50.jpg,1163.5733748312443,check1
6.jpg,6175.6944207025035,check1
7.jpg,2766.0374480485425,check1
8.jpg,8562.357710546376,check1
9.jpg,3447.118973634681,check1
1.jpg,9978.315872502197,check2
10.jpg,21492.594703123006,check2
11.jpg,6425.583812567453,check2
12.jpg,5084.884223626187,check2
13.jpg,9294.343206288466,check2
14.jpg,12646.087724465226,check2
15.jpg,7422.977695990582,check2
16.jpg,19102.718627712027,check2
17.jpg,5336.148904707073,check2
18.jpg,3855.3769313168,check2
19.jpg,10532.412193714605,check2
2.jpg,16390.899778098377,check2
20.jpg,13733.924742714556,check2
21.jpg,24309.779959485215,check2
22.jpg,33156.23336707429,check2
23.jpg,9104.74438155904,check2
24.jpg,4134.399323580216,check2
25.jpg,33997.15329824572,check2
26.jpg,11159.39065518671,check2
27.jpg,7438.001147922006,check2
28.jpg,19252.256374290813,check2
29.jpg,6910.594529393019,check2
3.jpg,3608.127642747513,check2
30.jpg,23139.469359182207,check2
31.jpg,20127.71345922263,check2
32.jpg,42250.210490139754,check2
33.jpg,38998.82348070856,check2
34.jpg,105967.44392165598,check2
35.jpg,6488.165147975999,check2
36.jpg,46761.87146002409,check2
37.jpg,15956.910373697276,check2
38.jpg,9089.528489423465,check2
39.jpg,8759.425100926308,check2
4.jpg,20966.74665565562,check2
40.jpg,11007.107598440987,check2
41.jpg,18499.25471720245,check2
42.jpg,12031.540823404614,check2
