Image,Contrast,Folder
1.jpg,16179.954175358862,check1
10.jpg,13888.717677146582,check1
11.jpg,37883.55526636759,check1
12.jpg,22588.098436804426,check1
13.jpg,13234.72290994882,check1
14.jpg,6033.770046591212,check1
15.jpg,12265.972076498634,check1
16.jpg,19063.118050171306,check1
17.jpg,17318.050697093106,check1
18.jpg,27913.42826899823,check1
19.jpg,7652.538601974604,check1
2.jpg,17424.980994345296,check1
20.jpg,6638.316363221852,check1
21.jpg,14292.836302586073,check1
22.jpg,27454.52044160701,check1
23.jpg,9274.733831736507,check1
24.jpg,20194.746735286033,check1
25.jpg,2279.1202226056503,check1
26.jpg,12155.230349145497,check1
27.jpg,10938.048854050561,check1
28.jpg,55948.77417294337,check1
29.jpg,6774.325354302838,check1
3.jpg,24276.633365174723,check1
30.jpg,5521.175255238042,check1
31.jpg,11726.413762834161,check1
32.jpg,20823.22357605915,check1
33.jpg,65512.54029600882,check1
34.jpg,45310.12282881445,check1
35.jpg,14538.502797737663,check1
36.jpg,24526.139387604595,check1
37.jpg,17961.51798712815,check1
38.jpg,14915.290007267133,check1
39.jpg,21908.349733421775,check1
4.jpg,14194.76154450008,check1
40.jpg,16567.227548194496,check1
41.jpg,18493.760017847828,check1
42.jpg,65512.54029600882,check1
43.jpg,28486.304172717242,check1
44.jpg,41190.59460602339,check1
45.jpg,58161.20089476965,check1
46.jpg,40217.794189185806,check1
47.jpg,20179.282427651546,check1
48.jpg,22574.154429840873,check1
49.jpeg,19942.266803707695,check1
5.jpg,18849.142664447423,check1
50.jpg,3672.2034584182043,check1
6.jpg,8416.985974635545,check1
7.jpg,8999.148642391028,check1
8.jpg,16074.567864083587,check1
9.jpg,6529.529414395002,check1
1.jpg,17607.853912994993,check2
10.jpg,33226.6411360328,check2
11.jpg,26190.485158897252,check2
12.jpg,48681.46744669065,check2
13.jpg,9941.281184527337,check2
14.jpg,24791.225517681272,check2
15.jpg,6615.401333822404,check2
16.jpg,37268.792164234954,check2
17.jpg,15313.928067651801,check2
18.jpg,9599.065362244733,check2
19.jpg,45428.26249378931,check2
2.jpg,32446.88682782993,check2
20.jpg,22520.00115219269,check2
21.jpg,35458.51510149794,check2
22.jpg,38661.04139240103,check2
23.jpg,15810.537518202189,check2
24.jpg,9116.926055733038,check2
25.jpg,50975.19380973965,check2
26.jpg,57598.93218245341,check2
27.jpg,15279.202183918078,check2
28.jpg,31712.562472453075,check2
29.jpg,8665.715558707441,check2
3.jpg,8869.205254414139,check2
30.jpg,63012.29836056441,check2
31.jpg,21599.135793421374,check2
32.jpg,46185.23877001067,check2
33.jpg,76924.61094638478,check2
34.jpg,61742.78797242721,check2
35.jpg,17379.99366063051,check2
36.jpg,63021.70287062594,check2
37.jpg,48262.28492112061,check2
38.jpg,25121.316610168684,check2
39.jpg,20992.178070827405,check2
4.jpg,57906.90771982621,check2
40.jpg,18738.948560702804,check2
41.jpg,61237.44959269997,check2
42.jpg,44758.34072080149,check2
43.jpg,47380.92568230619,check2
44.jpg,25612.178304707595,check2
45.jpg,76359.78118511321,check2
46.jpg,41942.34432408532,check2
47.jpg,11808.674040144953,check2
48.jpg,1842.562683483205,check2
49.jpg,35522.68506090981,check2
5.jpg,30234.97527478785,check2
50.jpg,9306.100990392326,check2
6.jpg,4914.951295354574,check2
7.jpg,10607.755312123629,check2
8.jpg,12041.465227397965,check2
9.jpg,17783.863725924777,check2
1.jpg,7828.482831579206,check3
10.jpg,11862.898814711358,check3
11.jpg,12634.719516675901,check3
12.jpg,7564.292205770827,check3
13.jpg,12256.342808733778,check3
14.jpg,2754.597276915217,check3
15.jpg,10620.397590014003,check3
16.jpg,7749.9536636170615,check3
17.jpg,2654.3480298452605,check3
18.jpg,4293.9301333524745,check3
19.jpg,16096.818130092392,check3
2.jpg,2802.932163284203,check3
20.jpg,4724.543986403511,check3
21.jpg,2237.70326807061,check3
22.jpg,13793.762010351113,check3
23.jpg,12648.795906635287,check3
24.jpg,12919.716474838526,check3
25.jpg,15030.365909852866,check3
26.jpg,4485.6813511274495,check3
27.jpg,9038.808253159576,check3
28.jpg,8061.509925860953,check3
29.jpg,49497.32807601705,check3
3.jpg,7298.3539173324025,check3
30.jpg,26914.278060702967,check3
31.jpg,35085.087286665155,check3
32.jpg,36167.43986517546,check3
33.jpg,17403.778566232177,check3
34.jpg,12542.189925946877,check3
35.jpg,33522.70611376367,check3
36.jpg,18585.70603707054,check3
37.jpg,5105.244575325323,check3
38.jpg,4327.738785328641,check3
39.jpg,11340.440840650032,check3
4.jpg,2192.640029722926,check3
40.jpg,14457.065866663375,check3
41.jpg,11974.924956985835,check3
42.jpg,13763.348604919212,check3
43.jpg,17225.627436560026,check3
44.jpg,4261.386722385163,check3
45.jpg,16699.362727459546,check3
46.jpg,12512.130687387526,check3
47.jpg,5796.060495976358,check3
48.jpg,3616.4800607982356,check3
49.jpg,7102.555958001924,check3
5.jpg,13136.836681677372,check3
50.jpg,13214.532781162841,check3
6.jpg,5932.328560914561,check3
7.jpg,8696.642079211135,check3
8.jpg,7894.762267047989,check3
9.jpg,7928.181571689957,check3
1.jpg,4785.451867741478,check4
