Image,Contrast,Folder
1.jpg,5399.277826933998,check1
10.jpg,1514.8929824098257,check1
11.jpg,11742.402970783513,check1
12.jpg,2408.685286496491,check1
13.jpg,6098.0017088918285,check1
14.jpg,1371.6420763961876,check1
15.jpg,6211.011946919657,check1
16.jpg,6972.363519114488,check1
17.jpg,8528.589268269314,check1
18.jpg,4367.4045140533735,check1
19.jpg,2860.477000878782,check1
2.jpg,6217.907328877335,check1
20.jpg,1312.5552292394416,check1
21.jpg,4620.988708762614,check1
22.jpg,19657.771488530892,check1
23.jpg,2735.551947701727,check1
24.jpg,17144.98721150744,check1
25.jpg,1096.359228207637,check1
26.jpg,7569.828911159695,check1
27.jpg,1855.7075122319277,check1
28.jpg,28775.35737391841,check1
29.jpg,3483.4771880654675,check1
3.jpg,6417.843061174664,check1
30.jpg,1932.7144194078267,check1
31.jpg,7020.965057906485,check1
32.jpg,10108.259196168628,check1
33.jpg,38794.55751787985,check1
34.jpg,16052.389718900171,check1
35.jpg,1059.3843121637856,check1
36.jpg,6082.984543957247,check1
37.jpg,13135.88065626938,check1
38.jpg,1266.6675887225022,check1
39.jpg,11688.395366336244,check1
4.jpg,9276.416409644618,check1
40.jpg,8044.849211972835,check1
41.jpg,3887.7850751006963,check1
42.jpg,38794.55751787985,check1
43.jpg,20065.793692976473,check1
44.jpg,25529.173837320945,check1
45.jpg,28027.70723730046,check1
46.jpg,72944.60223885925,check1
47.jpg,12077.85111513976,check1
48.jpg,11484.935083102107,check1
49.jpeg,12055.527251710697,check1
5.jpg,2646.830707916663,check1
50.jpg,1197.2906640929411,check1
6.jpg,4202.593443403439,check1
7.jpg,3172.9163171525106,check1
8.jpg,4551.431095120114,check1
9.jpg,2628.185144197638,check1
1.jpg,7917.893136059031,check2
10.jpg,19374.037726713686,check2
11.jpg,5079.286013986111,check2
12.jpg,2737.446456098497,check2
13.jpg,7880.0000869893165,check2
14.jpg,6228.403776156907,check2
15.jpg,8660.45654847075,check2
16.jpg,11013.825465134012,check2
17.jpg,3911.031335359213,check2
18.jpg,2407.8537822307917,check2
19.jpg,4318.437722887311,check2
2.jpg,10561.988941460737,check2
20.jpg,11728.232600797171,check2
21.jpg,22140.669996611527,check2
22.jpg,28966.939868459896,check2
23.jpg,5802.246250185556,check2
24.jpg,2913.624022321769,check2
25.jpg,31714.516663485796,check2
26.jpg,5001.524222134451,check2
27.jpg,5766.279594243043,check2
28.jpg,18662.66953868898,check2
29.jpg,6047.66161320697,check2
3.jpg,2260.032774404504,check2
30.jpg,16009.251848745922,check2
31.jpg,15952.946470689993,check2
32.jpg,42350.09488056402,check2
33.jpg,26263.39748571278,check2
34.jpg,93180.95793431961,check2
35.jpg,3794.7950023045796,check2
36.jpg,35476.53641460082,check2
37.jpg,10016.810726599115,check2
38.jpg,8190.893769085481,check2
39.jpg,7671.143848096266,check2
4.jpg,14540.64271592081,check2
40.jpg,9206.694617246003,check2
41.jpg,17135.697710331555,check2
42.jpg,6223.895175356708,check2
43.jpg,17335.854714666097,check2
44.jpg,1348.198393503957,check2
45.jpg,35353.10128325335,check2
46.jpg,18796.111369304977,check2
47.jpg,4641.313363120935,check2
48.jpg,1669.8355039479777,check2
49.jpg,31699.122699893247,check2
5.jpg,4099.708738796515,check2
50.jpg,2397.293574830484,check2
6.jpg,4453.333951429743,check2
7.jpg,3020.128912233006,check2
