Image,Contrast,Folder
1.jpg,20394.560556204404,check1
10.jpg,4120.870304868699,check1
11.jpg,42647.5604562116,check1
12.jpg,15076.828552868506,check1
13.jpg,10832.61965381856,check1
14.jpg,4935.27511907448,check1
15.jpg,19830.47584644748,check1
16.jpg,12418.258136715505,check1
17.jpg,26237.77198363165,check1
18.jpg,17190.372654881092,check1
19.jpg,10411.200678591826,check1
2.jpg,22793.52525827836,check1
20.jpg,6679.022267886174,check1
21.jpg,15081.050180812521,check1
22.jpg,55927.19220956869,check1
23.jpg,6598.540292060658,check1
24.jpg,35804.01189463599,check1
25.jpg,2446.99259738374,check1
26.jpg,21293.009029618803,check1
27.jpg,8685.257748118445,check1
28.jpg,87334.39314303346,check1
29.jpg,12214.976433715041,check1
3.jpg,22049.994312060768,check1
30.jpg,7664.902289450937,check1
31.jpg,20522.733021371514,check1
32.jpg,22300.785274632723,check1
33.jpg,94856.15364623754,check1
34.jpg,47987.19610451083,check1
35.jpg,4977.426167262091,check1
36.jpg,16835.08742798651,check1
37.jpg,28942.459394582456,check1
38.jpg,8708.678175046016,check1
39.jpg,38136.837436553295,check1
4.jpg,23544.55869761272,check1
40.jpg,28393.25193623134,check1
41.jpg,16356.791073328453,check1
42.jpg,94856.15364623754,check1
43.jpg,45091.96568009021,check1
44.jpg,41798.67259809843,check1
45.jpg,78824.31357130554,check1
46.jpg,99048.5496261943,check1
47.jpg,25887.974977889295,check1
48.jpg,25802.8782327911,check1
49.jpeg,28791.911849162123,check1
5.jpg,14363.995493795512,check1
50.jpg,3116.6151932375174,check1
6.jpg,9022.309355710358,check1
7.jpg,7238.425942110747,check1
8.jpg,15384.850755639893,check1
9.jpg,7999.715682403488,check1
1.jpg,26371.457014869124,check2
10.jpg,45748.42276871477,check2
11.jpg,25988.927849368425,check2
12.jpg,21189.270410072597,check2
13.jpg,21498.49652101516,check2
14.jpg,28305.814489368593,check2
15.jpg,23317.103911349397,check2
16.jpg,23810.519278299504,check2
17.jpg,16843.365449953853,check2
18.jpg,11404.416651180813,check2
19.jpg,28230.265049722682,check2
2.jpg,34014.336513273025,check2
20.jpg,41152.76426919686,check2
21.jpg,73488.00329212188,check2
22.jpg,71341.98819581095,check2
23.jpg,18616.86373676394,check2
24.jpg,12303.03433736867,check2
25.jpg,85768.45717299555,check2
26.jpg,31497.112421120375,check2
27.jpg,23111.49534601849,check2
28.jpg,56611.95180842858,check2
29.jpg,17850.879643539545,check2
3.jpg,10520.143768774476,check2
30.jpg,68878.39080298597,check2
31.jpg,41682.25144336166,check2
32.jpg,97562.25372287723,check2
33.jpg,76536.72067874494,check2
34.jpg,134051.00461420085,check2
35.jpg,20588.856374108655,check2
36.jpg,90242.6807682172,check2
37.jpg,48531.539473780285,check2
38.jpg,34821.31919408946,check2
39.jpg,25518.253875239494,check2
4.jpg,58955.66188887525,check2
40.jpg,26992.159244907147,check2
