Image;Contrast;Folder;;
1.jpg;2.176.959.064.860.780;check1;;
10.jpg;31.903.850.387.198.200;check1;;
11.jpg;3.463.045.667.746.300;check1;Mean;12.997.546.406.145.400
12.jpg;17.837.181.330.007.500;check1;Sum;6.498.773.203.072.720.000
13.jpg;7.202.914.485.366.970;check1;;
14.jpg;448.806.167.210.901;check1;;
15.jpg;13.011.990.986.547.100;check1;;
16.jpg;9.396.448.522.470.030;check1;;
17.jpg;1.727.488.983.395.630;check1;;
18.jpg;178.205.260.802.495;check1;;
19.jpg;8.232.737.676.805.180;check1;;
2.jpg;21.017.804.285.827.100;check1;;
20.jpg;6.170.607.687.062.390;check1;;
21.jpg;9.399.940.978.202.750;check1;;
22.jpg;30.262.092.099.468.900;check1;;
23.jpg;5.318.340.223.392.210;check1;;
24.jpg;22.247.765.433.429.400;check1;;
25.jpg;21.892.489.275.743.600;check1;;
26.jpg;14.795.955.833.622.500;check1;;
27.jpg;8.183.846.887.050.290;check1;;
28.jpg;5.803.725.928.079.100;check1;;
29.jpg;8.563.839.711.202.770;check1;;
3.jpg;2.002.117.959.303.020;check1;;
30.jpg;666.039.048.223.722;check1;;
31.jpg;13.719.145.097.000.500;check1;;
32.jpg;1.645.728.212.720.200;check1;;
33.jpg;56.839.157.317.452.700;check1;;
34.jpg;39.391.227.900.532.000;check1;;
35.jpg;5.546.769.639.754.780;check1;;
36.jpg;179.149.139.810.802;check1;;
37.jpg;18.442.899.500.146.200;check1;;
38.jpg;1.354.936.645.758.160;check1;;
39.jpg;26.322.009.825.908.600;check1;;
4.jpg;1.302.138.132.504.290;check1;;
40.jpg;2.063.253.039.959.890;check1;;
41.jpg;18.929.687.265.903.300;check1;;
42.jpg;56.839.157.317.452.700;check1;;
43.jpg;284.039.898.581.483;check1;;
44.jpg;29.695.533.959.690.200;check1;;
45.jpg;5.658.150.368.388.500;check1;;
46.jpg;612.479.095.332.544;check1;;
47.jpg;1.972.656.038.597.290;check1;;
48.jpg;20.694.873.309.810.600;check1;;
49.jpeg;2.085.161.260.272.000;check1;;
5.jpg;15.059.615.142.718.900;check1;;
50.jpg;3.215.113.935.573.050;check1;;
6.jpg;69.657.455.042.811.600;check1;;
7.jpg;3.701.875.610.845.670;check1;;
8.jpg;13.701.941.812.622.100;check1;;
9.jpg;6.780.804.320.723.050;check1;;
1.jpg;2.013.741.793.774.580;check2;;
